model,balanced_acc_mean,balanced_acc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aucpr_mean,aucpr_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,gridsearch_time_sec_mean,gridsearch_time_sec_std,train_time_sec_mean,train_time_sec_std,predict_time_sec_mean,predict_time_sec_std,model_size_mb_mean,model_size_mb_std,flops_per_sample_mean,flops_per_sample_std,flops_total_mean,flops_total_std,model_class,n_parameters_mean,n_parameters_std,n_trees_mean,n_trees_std,mean_tree_depth_mean,mean_tree_depth_std
Logistic_Regression_Undersampled,0.903009447,0.056865701,0.985312641,0.008390378,0.880952381,0.16768397,0.826666667,0.106249183,0.841818182,0.111396511,0.937698413,0.034915223,0.826666667,0.106249183,0.979352227,0.02992667,6.139796819,0.710855108,3.275277697,0.447245666,0.006479762,0.000209516,0.070528793,1.50E-05,5126,0,226569.2,2050.4,LogisticRegression,2563,0,,,,
RandomForest_Undersampled,0.834804318,0.064227443,0.965213675,0.021957089,0.91,0.111355287,0.68,0.124007168,0.771717172,0.106439918,0.877298803,0.064475659,0.68,0.124007168,0.989608637,0.012728557,19.09358929,0.131541164,0.46669752,0.163164247,0.038174097,0.005338044,0.37421608,0.261266984,1224.8,1285.159196,54644,58034.84664,RandomForestClassifier,,,260,120,3.8656,2.08495646
XGBoost_Undersampled,0.878448043,0.085600643,0.927638327,0.05778692,0.756190476,0.089412291,0.793333333,0.162480768,0.771421911,0.122203548,0.845446951,0.094786185,0.793333333,0.162480768,0.963562753,0.013222617,94.52360916,1.830098999,2.45677702,0.695214013,0.18405006,0.005849369,0.354642868,0.0548301,880,391.9183588,38840,17160.13986,XGBClassifier,240,80,,,,
Choquistic_Shapley_Undersampled,0.909352227,0.072393519,0.978259109,0.018004864,0.76952381,0.163593434,0.86,0.127191894,0.804195804,0.135743615,0.928215488,0.060967646,0.86,0.127191894,0.958704453,0.034864859,12677.70452,6372.558882,4454.490509,1059.201946,35.2351814,2.817005473,25.25342636,1.50E-05,6568969,0,290348429.8,2627587.6,ChoquisticRegression,,,shapley,2,0,O(n_features^2)
MLP_Undersampled,0.896396761,0.04884417,0.980994152,0.009437414,0.681190476,0.161006612,0.86,0.071180522,0.74952381,0.117517789,0.903601732,0.056410244,0.86,0.071180522,0.932793522,0.047534418,2.8162542,0.169633454,0.70930828,0.148628748,0.02550508,0.002038098,1.065564537,0.314498851,132486.4,41182.78115,5845811.2,1792132.624,MLPClassifier,"(32,)",0,0,,,
