model,balanced_acc_mean,balanced_acc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aucpr_mean,aucpr_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,gridsearch_time_sec_mean,gridsearch_time_sec_std,train_time_sec_mean,train_time_sec_std,predict_time_sec_mean,predict_time_sec_std,model_size_mb_mean,model_size_mb_std,flops_per_sample_mean,flops_per_sample_std,flops_total_mean,flops_total_std,model_class,n_parameters_mean,n_parameters_std,n_trees_mean,n_trees_std,mean_tree_depth_mean,mean_tree_depth_std,representation,k_add_mean,k_add_std,theoretical_complexity
Logistic_Regression,0.906720648,0.063038438,0.984525416,0.012816685,0.788888889,0.211986489,0.86,0.127191894,0.797922078,0.123308525,0.940622711,0.044353743,0.86,0.127191894,0.953441296,0.049976273,0.66403082,0.680746081,0.01623618,0.00068665,0.0164115,0.008855688,0.069553375,0,5126,0,226569.2,2050.4,LogisticRegression,2563,0,,,,,,,,
RandomForest,0.804102564,0.052205783,0.962186235,0.043306711,0.96,0.08,0.613333333,0.112743564,0.736666667,0.06,0.893064859,0.070641258,0.613333333,0.112743564,0.994871795,0.01025641,115.8523654,1.760750678,0.4647063,0.201914041,0.06915896,0.01578579,0.394518471,0.108948646,1284.6,576.5391921,56730.6,25280.8213,RandomForestClassifier,,,320,146.9693846,4.795,2.681075456,,,,
XGBoost,0.883711201,0.08134569,0.914280252,0.06106012,0.81,0.032659863,0.793333333,0.162480768,0.795151515,0.10392835,0.853231685,0.086324252,0.793333333,0.162480768,0.974089069,0.000330565,723.3535654,146.6691083,2.73746,0.881549359,0.2942509,0.096725704,0.357279587,0.088133985,1040,527.6362383,45920,23145.31486,XGBClassifier,,,280,97.97958971,,,,,,
Choquistic_Shapley,0.940823212,0.064090346,0.981983806,0.019170419,0.76,0.167862377,0.933333333,0.133333333,0.820606061,0.120701957,0.936388889,0.062065776,0.933333333,0.133333333,0.94831309,0.04610094,1813.703209,1911.596957,221.438672,168.9133446,126.5605256,56.55162681,25.20327663,0,6568969,0,290348429.8,2627587.6,ChoquisticRegression,,,,,,,shapley,2,0,O(n_features^2)
MLP,0.915560054,0.057168461,0.988308592,0.012214136,0.722857143,0.198232553,0.893333333,0.087939373,0.784149184,0.137552367,0.952142857,0.035044513,0.893333333,0.087939373,0.937786775,0.052870491,15.88358668,0.256277605,0.50505168,0.176236603,0.0257522,0.006820546,1.064588165,0.314488884,132486.4,41182.78115,5845811.2,1792132.624,MLPClassifier,"(32,)",0.00406,0.00484999,,,,,,,
