model,balanced_acc_mean,balanced_acc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aucpr_mean,aucpr_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,gridsearch_time_sec_mean,gridsearch_time_sec_std,train_time_sec_mean,train_time_sec_std,predict_time_sec_mean,predict_time_sec_std,model_size_mb_mean,model_size_mb_std,flops_per_sample_mean,flops_per_sample_std,flops_total_mean,flops_total_std,model_class,n_parameters_mean,n_parameters_std,n_trees_mean,n_trees_std,mean_tree_depth_mean,mean_tree_depth_std
Logistic_Regression_Undersampled,0.881147099,0.087017692,0.907253711,0.059230506,0.786666667,0.140791414,0.793333333,0.162480768,0.784848485,0.137001873,0.839875522,0.103347727,0.793333333,0.162480768,0.968960864,0.01948187,0.955249939,0.386885195,0.147599864,0.004153738,0.00593318,0.000122864,0.070530701,1.50E-05,5126,0,226569.2,2050.4,LogisticRegression,2563,0,,,,
RandomForest_Undersampled,0.837368421,0.062507863,0.964188034,0.022806993,0.96,0.08,0.68,0.124007168,0.788383838,0.09454567,0.875480621,0.067021074,0.68,0.124007168,0.994736842,0.010526316,75.31305027,0.299873335,0.482232189,0.153348805,0.040424009,0.006065115,0.368732262,0.262713232,1203.2,1297.869855,53693.6,58592.12488,RandomForestClassifier,,,260,120,3.7576,2.163337477
XGBoost_Undersampled,0.881012146,0.086014796,0.92008547,0.062007878,0.796190476,0.133788339,0.793333333,0.162480768,0.789199689,0.131202189,0.825157174,0.12548338,0.793333333,0.162480768,0.968690958,0.019767701,375.017808,0.854371914,1.679069463,0.360052012,0.247576553,0.018580181,0.412113762,0.063236082,1240,512.249939,54960,23138.67758,XGBClassifier,320,97.97958971,,,,
Choquistic_Shapley_Undersampled,0.888906883,0.076827184,0.952780027,0.032900405,0.9,0.081649658,0.793333333,0.162480768,0.826262626,0.085268322,0.876018519,0.077493086,0.793333333,0.162480768,0.984480432,0.01267407,166.2375673,0.741131383,44.27822303,0.164187425,37.171021,0.120487564,25.25341587,1.50E-05,6568969,0,290348429.8,2627587.6,ChoquisticRegression,3285766,0,shapley,2,0,O(n_features^2)
