model,balanced_acc_mean,balanced_acc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aucpr_mean,aucpr_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,gridsearch_time_sec_mean,gridsearch_time_sec_std,train_time_sec_mean,train_time_sec_std,predict_time_sec_mean,predict_time_sec_std,model_size_mb_mean,model_size_mb_std,flops_per_sample_mean,flops_per_sample_std,flops_total_mean,flops_total_std,model_class,n_parameters_mean,n_parameters_std,n_trees_mean,n_trees_std,mean_tree_depth_mean,mean_tree_depth_std,representation,k_add_mean,k_add_std,theoretical_complexity
Logistic_Regression,0.8697435897435899,0.08096476128957085,0.9410886189833558,0.05768112438182702,0.8600000000000001,0.12719189352225943,0.76,0.1678623774935223,0.7878787878787878,0.10141333654958494,0.8787387387387386,0.08166576324860417,0.76,0.1678623774935223,0.9794871794871796,0.01918798659884074,0.6922982000000004,0.6888620813680812,0.017411219999999616,0.00031644857655178287,0.017018660000000806,0.008747503382930809,0.06954669952392578,0.0,5126.0,0.0,226569.2,2050.4,LogisticRegression,2563.0,0.0,,,,,,,,
RandomForest,0.8041025641025641,0.05220578307986814,0.9621862348178137,0.04330671075500063,0.96,0.07999999999999999,0.6133333333333334,0.11274356350191843,0.7366666666666667,0.06000000000000006,0.8930648591174906,0.07064125779965473,0.6133333333333334,0.11274356350191843,0.9948717948717949,0.010256410256410265,114.80507858000001,1.6201696470997375,0.5883258400000159,0.1756395359401321,0.07289041999998744,0.016740351160287947,0.39451847076416013,0.10894864580947373,1284.6,576.5391920763063,56730.6,25280.821296785434,RandomForestClassifier,,,320.0,146.9693845669907,4.795,2.68107545585722,,,,
XGBoost,0.8837112010796222,0.08122436499961139,0.9245006747638327,0.057872194712396505,0.8261904761904763,0.09863007227241895,0.7933333333333333,0.16248076809271922,0.8001087801087801,0.11122936529699629,0.8678464828464827,0.08727505442214306,0.7933333333333333,0.16248076809271922,0.9740890688259108,0.01622017730681948,744.53203216,4.673289120877248,2.318744739999829,0.6981231419385224,0.2393038599999727,0.004320582300439685,0.3383649826049805,0.07414898303070322,1160.0,685.8571279792899,51160.0,30080.531910190683,XGBClassifier,,,280.0,97.97958971132712,,,,,,
Choquistic_Shapley,0.8811470985155196,0.08139799592582943,0.9312078272604587,0.052535077106914,0.7833333333333334,0.06666666666666671,0.7933333333333333,0.16248076809271922,0.7806060606060606,0.10726759104293465,0.8708549783549783,0.0652180106955246,0.7933333333333333,0.16248076809271922,0.9689608636977057,0.010125954916223536,785.5928097600001,47.05468636462675,107.72266148000035,0.9870517656549649,83.62532592000007,0.30492933334128236,25.203265953063966,5.3405761718750005e-06,6568969.0,0.0,290348429.8,2627587.6,ChoquisticRegression,,,,,,,shapley,2.0,0.0,O(n_features^2)
