model,balanced_acc_mean,balanced_acc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aucpr_mean,aucpr_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,gridsearch_time_sec_mean,gridsearch_time_sec_std,train_time_sec_mean,train_time_sec_std,predict_time_sec_mean,predict_time_sec_std,model_size_mb_mean,model_size_mb_std,flops_per_sample_mean,flops_per_sample_std,flops_total_mean,flops_total_std,model_class,n_parameters_mean,n_parameters_std,n_trees_mean,n_trees_std,mean_tree_depth_mean,mean_tree_depth_std
Logistic_Regression_Undersampled,0.923522267,0.048043101,0.989482681,0.008262208,0.766666667,0.169967317,0.893333333,0.087939373,0.813379953,0.107796557,0.952698413,0.028789293,0.893333333,0.087939373,0.953711201,0.037611895,1.09920181,0.637069492,0.167772946,0.011976017,0.00779614,0.003053427,0.070536041,1.62E-05,5126,0,226569.2,2050.4,LogisticRegression,2563,0,,,,
RandomForest_Undersampled,0.837368421,0.062507863,0.964188034,0.022806993,0.96,0.08,0.68,0.124007168,0.788383838,0.09454567,0.875480621,0.067021074,0.68,0.124007168,0.994736842,0.010526316,75.61661813,0.106744212,0.493858899,0.169697123,0.041884162,0.008533892,0.370206261,0.263669763,1203.2,1297.869855,53693.6,58592.12488,RandomForestClassifier,,,260,120,3.7576,2.163337477
XGBoost_Undersampled,0.878448043,0.085485357,0.931925326,0.060923706,0.772380952,0.135639913,0.793333333,0.162480768,0.776379176,0.129382552,0.860136705,0.096659823,0.793333333,0.162480768,0.963562753,0.020924208,317.9330189,1.676586233,1.727849852,0.372215378,0.241043904,0.002733634,0.436387444,0.088235853,960,293.9387691,42480,13136.5749,XGBClassifier,320,97.97958971,,,,
Choquistic_Shapley_Undersampled,0.89268556,0.057709101,0.974727845,0.023205814,0.76952381,0.163593434,0.826666667,0.106249183,0.786013986,0.112376556,0.92216773,0.064556272,0.826666667,0.106249183,0.958704453,0.034864859,183.4163599,2.866967884,44.24200045,0.370158341,36.25998307,0.102851175,25.25341587,1.50E-05,6568969,0,290348429.8,2627587.6,ChoquisticRegression,3285766,0,shapley,2,0,O(n_features^2)
MLP_L2_Undersampled,0.901524966,0.057363397,0.985096716,0.012001,0.738333333,0.206801032,0.86,0.071180522,0.782857143,0.154409122,0.941601732,0.042946293,0.86,0.071180522,0.943049933,0.054835678,12.518136,0.231243069,0.69843702,0.14903022,0.02315564,0.005024508,1.203318787,0.495544478,150544,64920.90883,6640345.6,2839343.63,MLPClassifier,"(32,)",0.00604,0.00484999,,,
